fid;Tipo_de_Pr;Estado_201;Proyecto;Empresa;Capacidad;Contrato;Municipio;Departamen;Lat;Long;the_geom;the_geom2
1;1;4;Chumbagua;ENERGIA CHUMBAGUA, S.A. DE C.V. (CHUMBAGUA);20;004-2013;251;16;15.2376275;-88.4895826;POINT (-88.4895826 15.2376275);POINT (-88.4895826 15.2376275)
2;1;4;EECOPALSA;ENERGIA ECOLOGICA DE PALCASA, S.A DE C.V. (EECOPALSA);1.3;026-2010;291;5;15.4996722;-87.7030972;POINT (-87.7030972 15.4996722);POINT (-87.7030972 15.4996722)
3;1;4;Caracol Knits;SOCIEDAD CARACOL KNITS, S.A. DE C.V. (CARACOL KNITS);18.1;036-2010;67;5;15.1635058;-87.9393693;POINT (-87.9393693 15.1635058);POINT (-87.9393693 15.1635058)
4;1;4;Yodeco;YODECO DE HONDURAS, S.A DE C.V. (YODECO);0.3;037-2010;288;18;15.1833444;-87.0693139;POINT (-87.0693139 15.1833444);POINT (-87.0693139 15.1833444)
5;1;4;Venta De Exedente De Energia Electrica (ACEYDESA);ACEITES Y DERIVADOS, S.A. (ACEYDESA);5.5;039-2011;9;2;15.8247999;-85.8974;POINT (-85.8974 15.8247999);POINT (-85.8974 15.8247999)
6;1;4;Biogas y Energia;BIOGAS Y ENERGIA S.A. (BIOGAS Y ENERGÍA);1.2;040-2011;9;2;15.8244417;-85.8975644;POINT (-85.8975644 15.8244417);POINT (-85.8975644 15.8244417)
7;1;4;CAHSA;COMPAÑÍA AZUCARERA HONDUREÑA, S.A. (CAHSA);30;044-2004;73;5;15.4050722;-88.0011417;POINT (-88.0011417 15.4050722);POINT (-88.0011417 15.4050722)
8;1;5;Cogeneracion R4e Talanga;COGENERACION RE4 TALANGA, S.A. DE C.V., (R4E TALANGA).;2.95;048-2010;133;8;14.4154277;-87.0918195;POINT (-87.0918195 14.4154277);POINT (-87.0918195 14.4154277)
9;1;4;HGPC;HONDURAN GREEN POWER CORPORATION, S.A. DE C.V., (HGPC);43;054-2012;64;5;15.6162166;-87.9736583;POINT (-87.9736583 15.6162166);POINT (-87.9736583 15.6162166)
10;1;4;Azunosa;INVERSIONES HONDUREÑAS, S.A. DE C.V. (IHSA I);14;066-2004, 068-2012;295;18;15.2838139;-87.8881139;POINT (-87.8881139 15.2838139);POINT (-87.8881139 15.2838139)
11;1;4;Tres Vallles;COMPAÑÍA AZUCARERA TRES VALLES, S.A. DE C.V. (CATV);17.8;066-2014;129;8;14.1495292;-86.8978509;POINT (-86.8978509 14.1495292);POINT (-86.8978509 14.1495292)
12;1;6;Green Energy S.A. de C.V.;SOCIEDAD MERCANTIL GREEN ENERGY, S.A. DE C.V. (GRENSA).;35;097-2014;67;5;15.1267129;-87.9333505;POINT (-87.9333505 15.1267129);POINT (-87.9333505 15.1267129)
13;1;4;La Grecia;AZUCARERA LA GRECIA, S.A. DE C.V. (LA GRECIA);16;104-2001;81;6;15.1267129;-87.9333505;POINT (-87.9333505 15.1267129);POINT (-87.9333505 15.1267129)
14;1;6;Energia Renovable JAREMAR;ENERGÍA RENOVABLE JEREMAR, S.A. DE C.V. (JAREMAR);0.48;111-2012;2;1;15.732021;-87.588955;POINT (-87.588955 15.732021);POINT (-87.588955 15.732021)
15;1;4;CELSUR;COMPAÑÍA ELÉCTRICA DEL SUR, S.A. DE C.V., (CELSUR);44.3;112-2012;81;6;13.2414555;-87.3534778;POINT (-87.3534778 13.2414555);POINT (-87.3534778 13.2414555)
16;1;5;Bioenergia Puerto Cortes;SOCIEDAD MERCANTIL ENERGÍA R4E, PUERTO CORTES, S.A. DE C.V., (R4E PUERTO CORTÉS).;2.98;114-2014;68;5;15.8268507;-87.8876422;POINT (-87.8876422 15.8268507);POINT (-87.8876422 15.8268507)
17;1;5;Bioenergia Choloma;SOCIEDAD MERCANTIL BIONERGIA R4E CHOLOMA, S.A. DE C.V., (R4E CHOLOMA).;3;116-2014;64;5;15.5534247;-87.938017;POINT (-87.938017 15.5534247);POINT (-87.938017 15.5534247)
18;1;4;MPP;MERENDÓN POWER PLANT, S.A. DE C.V., (M.P.P.);18;124-2013;64;5;15.6220384;-87.9798975;POINT (-87.9798975 15.6220384);POINT (-87.9798975 15.6220384)
19;1;5;Biomasa Rio Dulce;SOCIEDAD MERCANTIL COMPAÑÍA HONDUREÑA DE VALORES ENERGÉTICOS, S.A. (COHVESA).;5.8;130-2014;133;8;14.4297749;-87.0450137;POINT (-87.0450137 14.4297749);POINT (-87.0450137 14.4297749)
20;1;6;Energia Renovable JAREMAR;ENERGÍAS RENOVABLES JAREMAR S.A. DE C.V., (JAREMAR).;25;137-2014;2;1;15.7319013;-87.5886329;POINT (-87.5886329 15.7319013);POINT (-87.5886329 15.7319013)
