"ID_decretos";"Nombre_Decreto"
1;"Acuerdo presidencial 3056-91 Y Decreto Legislativo 128-94"
2;"Decreto Legislativo 5-99-E"
3;"PROPUESTA"
4;"Decreto Legislativo 99-87 Y 38-89"
5;"Decreto Legislativo 154-94 Y 43-95"
6;"Decreto Legislativo 166-2013"
7;"Decreto Legislativo 22-2016"
8;"Decreto Legislativo 114-03"
9;"Decreto Legislativo 87-87"
10;"Decreto Legislativo 211-85"
11;"Decreto Legislativo No. 32-2014"
12;"Decreto Legislativo 195-2010"
13;"Acuerdo presidencial  140-97"
14;"Decreto Legislativo 22-92"
15;"Acuerdo presidencial  0348-89"
16;"Decreto Legislativo 190-2006"
17;"Acuerdo presidencial  118-92"
18;"Decreto Legislativo 49-61"
19;"Decreto Legislativo 75-2010"
20;"Decreto Legislativo 976-90 Y 153-93"
21;"Decreto Legislativo 71-71 Y 46-2007"
22;"Decreto Legislativo 169-99"
23;"Decreto Legislativo 48-90"
24;"Decreto Legislativo 093-2016"
25;"Decreto Legislativo 048-2017"
26;"Decreto Legislativo No.87-87"
27;"Decreto Legislativo 144-94"
28;"Decreto Legislativo  87-87"
29;"Decreto Legislativo 385-2005"
30;"Decreto Legislativo 396-2005"
31;"Decreto Legislativo  96-2016"
32;"Decreto Legislativo 96-2016"
33;"Decreto Legislativo 261-00"
34;"Decreto Legislativo 185-82"
35;"Acuerdo presidencial 139-97"
36;"Decreto Legislativo 977-80 y 170-97"
37;"Decreto Legislativo 46-90 y 334-2013"
38;"Decreto Legislativo 157-99"
