"ID_Direccion";"Nombre_Direccion"
1;"LA UNION"
2;"EL PINO"
3;"MATARRAS"
4;"BARRIO LEMPIRA, ESPARTA"
5;"CARACAS"
6;"CEIBA MOCHA"
7;"ALDEA EL PINO"
8;"ALDEA EL GANCHO, LA UNION"
9;"CALLE PPAL"
10;"CONTIGUO AL CENTRO DE SALUD"
11;"LA CURVA"
12;"LOPEZ BONITO"
13;"LOS CACERES"
14;"MONTEVIDEO"
15;"LA RUIDOSA"
16;"OROTINA"
17;"PORVENIR, BARRIO EL CENTRO"
18;"COLONIA ELICIA"
19;"DESVIO LAS PALMERAS"
20;"CECERES"
21;"ALDEA MONTEVIDEO, CALLE PPAL"
22;"ALDEA LOPEZ BONITO"
23;"ALDEA CEIBA MOCHO"
24;"EL PORVENIR"
25;"EL PINO, COL 9 DE JULIO"
26;"LOMBARDIA"
27;"CEIBITA WAY"
28;"LA LIBERTAD"
29;"ARIZONA, BARRIO LA PIMIENTA"
30;"El Jazmin"
31;"PRIMERO DE MAYO"
32;"20 DE ENERO"
33;"EL MARAÐON"
34;"EL EDEN # 2"
35;"SAN JOSE DE ZAMZIBAR"
36;"LA AURORA"
37;"EL EMPALME"
38;"AGUA CALIENTE"
39;"11 DE MARZO"
40;"EL EDEN 1"
41;"BRISA DE AMERICA"
42;"BARRANQUILLA"
43;"LA COLMENA"
44;"EL SITIO"
45;"GUACHIPILIN 2"
46;"NUEVA SUYAPA"
47;"SANTA LUCIA"
48;"LA GUADALUPE"
49;"COL CABAÐAS"
50;"PLANES DE TIBURONES"
51;"EL ESTILLERO"
52;"SAN JOSE DE TIBURON"
53;"FLORES DE LEAN"
54;"LAS DELICIAS"
55;"JILAMITO VIEJO"
56;"RIO CHIQUITO"
57;"JILAMITO NUEVO"
58;"SAN JOSE DE TEXIGUAT"
59;"EL COCO"
60;"SIZAMA"
61;"PARIS DE LEON"
62;"ULUACITO"
63;"LOS CERRITOS"
64;"MEZAPITA"
65;"SOMBRA VERDE"
66;"GUACHIPILIN N 1"
67;"EL JASMIN"
68;"SIEMPRE VIVA"
69;"LAS AMERICAS"
70;"PIEDRAS DE AFILAR"
71;"FRENTE IGLESIA DE DIOS"
72;"ALDEA COLORADO BARRA"
73;"CAMPO NUEVO"
74;"MATA DE GUINEO"
75;"NUEVAGO"
76;"JILAMO NUEVO"
77;"SAN FRANCISCO DE SACO"
78;"COLORADITO"
79;"SANTA MARIA"
80;"EL RETIRO"
81;"LA ROSITA"
82;"BUENOS AIRES"
83;"ALDEA FLORES DE ITALIA"
84;"SAN JOSE"
85;"EL SUSPIRO"
86;"EL CENTRO"
87;"KILOMETRO 17"
88;"HICAQUE"
89;"ESPARTA"
90;"COL. BELLA VISTA"
91;"FRENTE AL CAMPO DE FUTBOOL"
92;"MATARAS"
93;"ALDEA JILAMO"
94;"BO EL CENTRO"
95;"BO LA GLORIA"
96;"LA MASICA, EL NARANJAL"
97;"EL NARANJAL"
98;"SAN ANTONIO"
99;"JUAN PUEBLO"
100;"SAN JUAN BENQUE"
101;"EL CENTRO, LA MASICA"
102;"La Cumbre"
103;"EL NARANJAL, LA MASICA"
104;"LAS FLORES"
105;"COL. LAZO"
106;"LA PRESA"
107;"BETANIA"
108;"PLANES DE SAN JOSE"
109;"EL ZAPOTE"
110;"PAGUALES"
111;"LOS CHORRITOS"
112;"EL RECREO"
113;"COLONIA ALEMANIA"
114;"POZO SARCO"
115;"LAS MINAS"
116;"LOS MICOS"
117;"FLORES DE SAN JUAN"
118;"EL MANCHON"
119;"SAN MARCOS"
120;"TRIPOLY"
121;"EL DESVIO"
122;"MONTENEGRO"
123;"EL ORO"
124;"AGUA FRIA"
125;"TIERRA FIRME"
126;"SAN JUAN PUEBLO"
127;"LA MASICA BARRIO NUEVO CALLE RAMON ROSA"
128;"ALDEA SAN ANTONIO"
129;"ALDEA FLORES DE SAN JUAN"
130;"BARRIO SUYAPA"
131;"LA MASICA"
132;"ALDEA TRIPOLY"
133;"Desconocido"
134;"COL LAZO"
135;"BUENA VISTA"
136;"MEZAPA"
137;"ATENAS, SAN CRIST"
138;"LA CRUCITA"
139;"CORAYCITO"
140;"LAS MARIAS"
141;"EL MACUELIZO"
142;"EL CACAO"
143;"LAS MARIAS, SAN JOSE"
144;"APACILAGUA"
145;"LA CEIBA"
146;"LAS PILAS"
147;"EL ZAPATON"
148;"EL TRAPICHE"
149;"SAN JACINTO"
150;"COYOLITO DE SAN FELIPE"
151;"LAS TABLAS"
152;"LAS POSAS # 1"
153;"CAÐA VIEJA"
154;"LA CIENAGA"
155;"PUEBLO NUEVO"
156;"LAS CAÐAS"
157;"LOS ZANJONES"
158;"LAS TROJES"
159;"EL TAMARINDO"
160;"EL AGUACATE"
161;"EL ARENAL"
162;"LAS LOMITAS"
163;"MEZCALES"
164;"GUAYABILLAS"
165;"LAS PERRERAS"
166;"EL NARANJO"
167;"EL AJUSTE"
168;"SAN FELIPE"
169;"LA GARZA"
170;"LOS LIMONES"
171;"ARADITOS"
172;"LAS POZAS N. 2, APACILAGUA"
173;"LA GARZA, APACILAGUA"
174;"13 KM. DE LA CIUDAD DE CHOLUTECA"
175;"Barrio Nueva Esperanza"
176;"COPAL ARRIBA, CHOLUTECA"
177;"Colonia las Acacias"
178;"Barrio Cabañas 2 cuadras al esre del Parque Cabañas"
179;"2cuadras al oeste de la Casa del COLPROSUMAH Barrio el Estad"
180;"BARRIO LAS COLINAS"
181;"PAVANA"
182;"COL MARCELINO CHAMPAGNAT"
183;"BARRIO EL PORVENIR"
184;"PILLADO"
185;"COLONIA JUAN PABLO SEGUNDO"
186;"TAPATOCA"
187;"OJUSTAL, LINACA"
188;"YUSGUARE"
189;"BO. GUADALUPE FRENTE CAMPO FUTBOL AMERICA"
190;"BO. LAS COLINAS"
191;"BO. NUEVA ESPERAN"
192;"COL MARCELINO CHAMPAGNAT 4 CDRAS ENTRADA PRINCIPAL"
193;"CLL PPAL DE LA NORMAL MIXTA DEL SUR 1 CDRA AL NORTE"
194;"101 BRIGADA DE INFANTERIA"
195;"RIGADA DE INFANTERIA"
196;"BARRIO CABAÑAS 2 CUADRAS AL ESTE DEL CAMPO CABAÑAS"
197;"BARRIO CAMPO SOL"
198;"CONTIGUO IGLESIA SAGRADA FAMILIA BO LOS MANGOS"
199;"Choluteca"
200;"EL GUACIMO SAN RAMON"
201;"COL INMACULADA CONCEPCION"
202;"COLONIA EBEN-EZER"
203;"BO. LAS ARENAS"
204;"SAN FRANCISCO DEL PALOMAR"
205;"COLONIA 15 DE SEPTIEMBRE"
206;"COLONIA JULIO MIDENCE"
207;"BARRIO SAN JORGE"
208;"ALTAMIRA"
209;"LOS ENCUENTROS, SAN RAMON"
210;"EL FANTASIOSO"
211;"LA CUMBRE CHOROTEGA"
212;"BARRIO PIEDRAS AZULEZ"
213;"GUAYABILLAS DE SAN MARTIN"
214;"ARENILLAS"
215;"EL LIMONAL"
216;"COLONIA HATO NUEVO # 2"
217;"CIUDAD NUEVA"
218;"COLONIA NUEVA COLORADOS"
219;"LOS MANGOS DE SAN MARTIN"
220;"PALO HERRADO"
221;"EL QUIQUISTAL"
222;"HATILLOS # 2"
223;"SALAZAR"
224;"PIEDRA PARADA"
225;"EL PITAL DE PAVANA"
226;"MONTECILLO"
227;"BARRIO BRIZAS DEL SUR"
228;"BARRIO EL ESTRUENDO"
229;"COFRADIA"
230;"BARRIO CAMPO LUNA"
231;"LAS PITAS"
232;"LA PUERTA DEL TRAPICHE"
233;"NAMALI"
234;"EL CALERO COPAL"
235;"LOS HUMOS"
236;"EL ZACATUSTAL"
237;"MARILLAL"
238;"LAS MESAS DE LINACA"
239;"WAICA"
240;"EL ESFUERZO DE SANTA LUCIA"
241;"COLONIA EMILIO WILLIAMS"
242;"SANTA ISABEL"
243;"LIMON DE LA CERCA"
244;"LA FRAGUA DE LINACA"
245;"EL ESQUILLAL"
246;"OCOTILLO"
247;"TAPATOCA RIO"
248;"LOS QUERQUES"
249;"SAN LUIS ANACH"
250;"SANTA ROSA"
251;"EL CARACOL # 2"
252;"LA GARITA"
253;"SAN RAFAEL"
254;"JACALITO"
255;"EL TULITO"
256;"BARRIO SAN JUAN BOSCO"
257;"EL PALENQUE # 2"
258;"COLONIA BUEN SAMARITANO"
259;"AGUA CALIENTE DE PAVANA"
260;"COPAL ARRIBA"
261;"EL CAPULIN"
262;"SAN JOSE DE LOS RINCONES"
263;"EL LIMON DE LINACA"
264;"LAS CANAS DE LINACA"
265;"LOS HATILLOS"
266;"SAN CRISTOBAL DE LINACA"
267;"BARRANCONES, SAN MARTIN"
268;"EL SANTUARIO"
269;"COMUNIDAD EL APINTAL"
270;"WINTO, LINACA"
271;"SANTA CRUZ DE YARILE"
272;"EL QUEBRACHO, SAN RAMON"
273;"IZTOCA"
274;"JOCOMICO"
275;"EL ZAPOTE AL NORTE DE LA CIUDAD DE CHOLUTECA"
276;"GUANCASTE GRANDE, LINACA"
277;"ALDEA HATO NUEVO # 1"
278;"LAS CABEZAS"
279;"LOS COLORADOS"
280;"EL MADREAL"
281;"SAN RAMON CENTRO"
282;"LA PICOTA, EL TRAPICHE"
283;"LAS UVAS DE LINACA"
284;"OLA MARCOVIA"
285;"PLAN DEL JOCOTE"
286;"TAPACI, LINACA"
287;"EL OBRAJE DE LINACA"
288;"EL JICARAL"
289;"LICANTO"
290;"HATILLOS # 1"
291;"EL JOCOTE"
292;"EL RINCON DE LA CASTAÐA"
293;"PORTILLO DEL GUACIMO"
294;"EL COYOL DE LINACA"
295;"EL CERRO DEL TRAPICHE"
296;"LA TRINIDAD"
297;"CERRO VERDE, LINACA"
298;"TAPAIRE"
299;"RIO ABAJO, SAN RAMON"
300;"PORTILLO DEL VIENTO"
301;"SAN RAMON ARRIBA"
302;"EL PAPALON"
303;"EL CARRIZAL"
304;"GUANACASTILLOS"
305;"FRAY LAZARO"
306;"COPAL ABAJO"
307;"CERCO DE PIEDRA"
308;"AGUA CALIENTE LINACA"
309;"LINACA"
310;"CERRO DE SAN MARTIN"
311;"SAN MARTIN"
312;"EL CARRIZO"
313;"LA CRUZ DE LINACA"
314;"COLONIA LAS ACASIAS"
315;"BARRIO LOS MANGOS"
316;"BARRIO EL ESTADIO"
317;"BARRIO CABAÐAS"
318;"BARRIO EL CENTRO FTE. AL PARQUE"
319;"BARRIO EL CENTRO"
320;"5 CUADRAS AL ESTE DEL CENTRO PENAL, COL EBEN EZER"
321;"COL LAS DELICIAS"
322;"LOS COLORADOS VIEJOS FTE. A LA ESCUELA FEDERICO RIVERA"
323;"PILLADO, SALIDA SAN MARCOS DE COLÒN, DESVIO TAPAIRE"
324;"COLONIAS UNIDAS"
325;"BO CAMPO SOL"
326;"TAPACI LINACA"
327;"CARRETERA HACIA AGUA CALIENTE DE LINACA"
328;"COL. EL BUEN SAMARITANO"
329;"COL INMACULADA CONCEPCION SALIDA A YUSGUARE,ATRAS PISTA DE A"
330;"COL NUEVA COLORADA"
331;"BO LA LIBERTAD AL SUR DEL MERCADO CONCEPCION"
332;"COL PROVIDENCIA"
333;"BO LA CUMBRE"
334;"COL. PANAMERICANA"
335;"COL 15 DE SEPTIEMBRE"
336;"BO EL PORVENIR"
337;"GUANACASTILLO PAVANA"
338;"BARRIO SAN FRANCISCO DEL PALOMAR"
339;"STA ROSA DE SAMPILE"
340;"COYOL DE LINACA"
341;"EL CAPULIN TRAPICHE"
342;"LA PICOTA"
343;"2KM DE PUENTE CHOLUTECA HACIA TEGUCIGALPA"
344;"BO CABAÑAS"
345;"OLA."
346;"COL JULIO MIDENCE"
347;"EL APINTAL"
348;"LAS ARENAS"
349;"ALDEA SAN RAMON ABAJO"
350;"COL BRISAS DEL SUR,CLL.A GUASAULE 1 CD.ESTE POR ESCUELA JOS"
351;"COL LAS ACACIAS"
352;"ALDEA PAVANA"
353;"LAS COLINAS"
354;"ALDEA PLAYAS DE IZTOCA"
355;"BO BRASIL"
356;"BO SUYAPA"
357;"ALDEA DE TAPATOCA"
358;"BO LA CEIBA"
359;"ALDEA EL PAPALON"
360;"FRAY LAZARO, CHOLUTECA"
361;"EL JACALITO, CHOLUTECA"
362;"RIO ABAJO"
363;"STA CRUZ DE YARILE"
364;"EL ESFUERZO, STA LUCIA"
365;"BO SAN JUAN BOSCO"
366;"BO LOS MANGOS, ESC PEDRO NUFIO"
367;"LA PABELLONA, CONCEPCION DE MARIA"
368;"BO RAFAEL HELIODORO VALLE"
369;"LOS HORCONES"
370;"LA CEIBILLA"
371;"OMOA"
372;"MATAPALOS NO 2"
373;"SAN ISIDRO"
374;"LOS AMATES"
375;"LAS GRANADAS ABAJO"
376;"GUACIMAL # 2"
377;"LA CAÐITA"
378;"QUEBRADA GRANDE"
379;"SAN BENITO VIEJO"
380;"EL TEJAR"
381;"PALO VERDE"
382;"EL PEÐON # 2"
383;"LA PABELLANA"
384;"LA MONTAÑA"
385;"EL PALO SOLO # 2"
386;"SANTA ANA"
387;"EL GUACIMOL # 1"
388;"NANCE DULCE"
