ID;Ano;Mes;Solicitante;Beneficiario;Tipo_Solicitante;Sub_Tipo_Dispensa;Resolucion;Moneda;Valor_CIF_Suma
1;316;1;Bay Island Electric Suply Y Plaza Mar;Bay Island Electric Suply Y Plaza Mar;Dispensas Especiales;Zolitur;Con Lugar;1;1283699
2;316;1;Diamonds International Honduras, S.A.;Diamonds International Honduras, S.A.;Dispensas Especiales;Zolitur;Con Lugar;1;957786
3;316;1;Embajada De Los Estados Unidos De America;Juan Ramon Mejia;Solicitud De Venta De Veh;Venta Libre Funcionarios Embajadas;Con Lugar;2;102069778
4;316;1;Asociacion Evangelistica Larry Jones Feed The Children;Asociacion Evangelistica  Larry Jones  Feed The Children;Dispensas Especiales;Organizaciones Sin Fines De Lucro/ Donaciones;Con Lugar;1;60725
5;316;1;Transportes Terrestres, Flower Bay, S De R.L De C.V;Transportes Terrestres, Flower Bay, S De R.L De C.V;Solicitud De Venta De Veh;Venta Previo Pago;Con Lugar;1;27000
6;316;1;Anthonys Key Hotel Corporation S.A. De C.V.;Anthonys Key Hotel Corporation S.A. De C.V.;Dispensas Especiales;Zolitur;Con Lugar;1;2101173
7;316;1;Banco Centroamericano De Integracion Economica;Sergio Alejandro Solano Ugalde;Solicitud De Venta De Veh;Venta Para Funcionarios Del Bcie;Con Lugar;1;11500
8;316;1;Banco Centroamericano De Integracion Economica;Egdares Futch Higueros;Solicitud De Venta De Veh;Venta Para Funcionarios Del Bcie;Con Lugar;1;26000
9;316;1;Banco Centroamericano De Integracion Economica;Luis Carlos Valerio Sanchez;Solicitud De Venta De Veh;Venta Para Funcionarios Del Bcie;Con Lugar;1;25500
10;316;1;Banco Centroamericano De Integracion Economica;Alejandro Jose Osorio Mejia;Solicitud De Venta De Veh;Venta Para Funcionarios Del Bcie;Con Lugar;1;20800
11;316;1;Editorial Honduras S.A. De C.V. (Diario Tiempo);Diario El Tiempo;Dispensas Especiales;Emision Del Pensamiento / Imprentas Y Editoras;Con Lugar;1;279360
12;316;1;La Asociacion  Capacitacion Educacion, Produccion, Unificacion, Desarrollo, Organizacion    Cepudo;La Asociacion  Capacitacion., Educacion Produccion, Unificacion, Desarrollo, Y Organizacion;Dispensas Especiales;Organizaciones Sin Fines De Lucro/ Donaciones;Con Lugar;1;1653125
13;316;1;Despacho De La Primera Dama, Casa Presidencial;El Despacho De La Primera Dama, Casa Presidencial;Dispensas Oficiales;Donaciones Sector Publico (Decreto 18-90);Con Lugar;1;4228692
14;316;1;Fuerza De Tarea Conjunta Bravo;Fuerza De Tarea Conjunta Bravo;Dispensas Oficiales;Fuerza De Tarea Conjunto Bravo;Con Lugar;1;33299472
15;316;1;Fuerza De Tarea Conjunta Bravo;Fuerza De Tarea Conjunta Bravo;Dispensas Oficiales;Fuerza De Tarea Conjunto Bravo;Con Lugar;1;126181
16;316;1;Fuerza De Tarea Conjunta Bravo;Fuerza De Tarea Conjunta Bravo;Dispensas Oficiales;Fuerza De Tarea Conjunto Bravo;Con Lugar;1;1006888
17;316;1;Mecanismos De Energía Renovable S.A. De C.V. (Mecer);Proyecto Solar Del Sur;Dispensas Especiales;Hidroelectrica Para Autoconsumo;Con Lugar;1;25582028
18;316;1;Mecanismos De Energía Renovable S.A. De C.V. (Mecer);Proyecto Solar Del Sur;Dispensas Especiales;Hidroelectrica Para Autoconsumo;Con Lugar;1;733000
19;316;1;Mecanismos De Energía Renovable S.A. De C.V. (Mecer);Proyecto Solar Del Sur;Dispensas Especiales;Hidroelectrica Para Autoconsumo;Con Lugar;1;35084436
20;316;1;Despacho De La Primera Dama, Casa Presidencial;Casa Presidencial;Dispensas Oficiales;Donaciones Sector Publico (Decreto 18-90);Con Lugar;1;2967
21;316;1;Iglesia Catolica De Honduras;Diocesis De Santa Rosa De Copan  Parroquia Dulce Nombre De Maria;Dispensas Especiales;Iglesia Catolica De Honduras;Con Lugar;1;25600
22;316;1;Iglesia Catolica De Honduras;Diocesis De Tegucigalpa  Hermanas Misioneras Sagrado Corazon De Jesus;Dispensas Especiales;Iglesia Catolica De Honduras;Con Lugar;1;22400
23;316;1;Iglesia Catolica De Honduras;Parroquia Emmanuel  San Manuel Cortes;Dispensas Especiales;Iglesia Catolica De Honduras;Con Lugar;1;975132
24;316;1;Iglesia Catolica De Honduras;Sociedad De Los Padres Javerienos  Centro De Formacion Y Animacion Misionera;Solicitud De Venta De Veh;Venta Iglesias Previo Pago;Con Lugar;1;19505
25;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;187014
26;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;8992184
27;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;247944
28;316;1;Embajada De Los Estados Unidos De America;Royal Simeon Ripley;Dispensas Oficiales;Diplomaticos Y Funcionarios De Embajadas;Con Lugar;1;1416469
29;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;26659906
30;316;1;Honduran Green Power Corporation S.A. De C.V.;Honduran Green Power Corporation S.A. De C.V.;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;1221450
31;316;1;Asociacion Brigadas Amor Cristiano;Asociacion Brigadas De Amor Cristiano;Dispensas Especiales;Organizaciones Sin Fines De Lucro/ Donaciones;Con Lugar;1;1127583
32;316;1;Ministerio Alimentando A Los Pequeñitos De Dios;Ministerio Alimentando A Los Pequeñitos De Dios;Dispensas Especiales;Confraternidad Evangelica;Con Lugar;1;184244
33;316;1;Iglesia Catolica De Honduras;Arquidiocesis De Tegucigalpa (Proyecto Zulema);Solicitud De Venta De Veh;Venta Iglesias Previo Pago;Con Lugar;1;16300
34;316;1;Concesionaria Vial Honduras S.A. De C.V.;Concesionaria Vial Honduras S.A. De C.V.;Permisos Especiales De Im;Constructoras (Soptravi);Con Lugar;1;3478807
35;316;1;Iglesia Catolica De Honduras;Arquidiocesis De Tegucigalpa Parroquia De Teupasenti, Departamento De El Paraiso;Solicitud De Venta De Veh;Venta Previo Pago Especiales;Con Lugar;1;16300
36;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;6197326
37;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;185776
38;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;2078917
39;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;508380
40;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;1273409
41;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;18664445
42;316;1;Embajada De La Soberana Orden Militar Hospitalaria De Malta;Embajada De La Soberana Orden Militar Hospitalaria De Malta;Dispensas Oficiales;Embajadas;Con Lugar;1;11003
43;316;1;Embajada De La Soberana Orden Militar Hospitalaria De Malta;Embajada De La Soberana Orden Militar Hospitalaria De Malta;Dispensas Oficiales;Embajadas;Con Lugar;1;88481
44;316;1;Agencia Suiza Para El Desarrollo Y La Cooperacion (Cosude);Cooperación Suiza Al Desarrollo   Cosude;Solicitud De Venta De Veh;Venta Previo Pago Organismos Internacionales;Con Lugar;1;22500
45;316;1;Agencia Suiza Para El Desarrollo Y La Cooperacion (Cosude);Cooperación Suiza Al Desarrollo   Cosude;Solicitud De Venta De Veh;Venta Previo Pago Organismos Internacionales;Con Lugar;2;300960
46;316;1;Agencia Suiza Para El Desarrollo Y La Cooperacion (Cosude);Cooperación Suiza Al Desarrollo   Cosude;Solicitud De Venta De Veh;Venta Previo Pago Organismos Internacionales;Con Lugar;2;27000
47;316;1;Agencia Suiza Para El Desarrollo Y La Cooperacion (Cosude);Cooperación Suiza Al Desarrollo   Cosude;Solicitud De Venta De Veh;Venta Previo Pago Organismos Internacionales;Con Lugar;1;26000
48;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;1398597
49;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;6158825
50;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;696745
51;316;1;Banco Centroamericano De Integracion Economica;Mauricio Espinoza Troyo;Solicitud De Venta De Veh;Venta Para Funcionarios Del Bcie;Con Lugar;1;37800
52;316;1;Banco Centroamericano De Integracion Economica;Karina Lissy Fajardo Pineda;Solicitud De Venta De Veh;Venta Para Funcionarios Del Bcie;Con Lugar;1;30000
53;316;1;Fuerza De Tarea Conjunta Bravo;Fuerza De Tarea Conjunta Bravo;Dispensas Oficiales;Fuerza De Tarea Conjunto Bravo;Con Lugar;1;151391483
54;316;1;La Asociacion  Capacitacion Educacion, Produccion, Unificacion, Desarrollo, Organizacion    Cepudo;La Asociacion  Capacitacion., Educacion Produccion, Unificacion, Desarrollo, Y Organizacion;Dispensas Especiales;Organizaciones Sin Fines De Lucro/ Donaciones;Con Lugar;1;34440
55;316;1;Sunedison International Construction Llc, Sucursal Honduras;Granja Solar De Choluteca Ii Sersa;Dispensas Especiales;Hidroelectrica Para Autoconsumo;Con Lugar;1;353507
56;316;1;Sunedison International Construction Llc, Sucursal Honduras;Granja Solar De Choluteca Ii Sersa;Dispensas Especiales;Enegia Solar;Con Lugar;1;32930004
57;316;1;Sunedison International Construction Llc, Sucursal Honduras;Granja Solar De Choluteca Ii Sersa;Dispensas Especiales;Hidroelectrica Para Autoconsumo;Con Lugar;1;100718146
58;316;1;Sunedison International Construction Llc, Sucursal Honduras;Granja Solar De Choluteca Ii Sersa;Dispensas Especiales;Hidroelectrica Para Autoconsumo;Con Lugar;1;145548032
59;316;1;Sunedison International Construction Llc, Sucursal Honduras;Granja Solar De Choluteca Ii Sersa;Dispensas Especiales;Hidroelectrica Para Autoconsumo;Con Lugar;1;104371128
60;316;1;Sunedison International Construction Llc, Sucursal Honduras;Granja Solar De Choluteca Ii Sersa;Dispensas Especiales;Hidroelectrica Para Autoconsumo;Con Lugar;1;4851192
61;316;1;Eldon S, S.A De C.V.;Eldon S, S.A De C.V.;Dispensas Especiales;Zolitur;Con Lugar;1;8376089
62;316;1;Universal Automotriz, S.A De C.V (Uniauto);Universal Automotriz, S.A De C.V (Uniauto);Solicitud De Venta De Veh;Venta Previo Pago Arrendadoras;Con Lugar;2;30634114
63;316;1;Universal Automotriz, S.A De C.V (Uniauto);Universal Automotriz, S.A De C.V (Uniauto);Solicitud De Venta De Veh;Venta Previo Pago Arrendadoras;Con Lugar;1;30634114
64;316;1;Empresa Servicios Turisticos Y Hoteleros De Honduras S.A.;Proyecto Hotel Quinta Inn & Suite;Dispensas Especiales;Incentivos Al Turismo;Con Lugar;1;68000
65;316;1;Smartsolar S.A De C.V;Proyectos De Generacion De Energia Solar;Dispensas Especiales;Enegia Solar;Con Lugar;1;107380
66;316;1;Alimentos Y Servicios, S. De R.L De C.V (Alyser);Alimentos Y Servicios, S. De R.L De C.V (Alyser);Solicitud De Venta De Veh;Venta  Previo Pago De Vehiculo Adquirido Con Permiso Especial De Imp. Temp.;Con Lugar;1;20377
67;316;1;Embajada De Canada;Frank Schneider;Dispensas Oficiales;Diplomaticos Y Funcionarios De Embajadas;Con Lugar;1;1304375
