"ID_planificacion";"nombrePlanificacion";"encargado";"ID_Anio";"ID_Municipio";"ID_Depto"
1;"Plan municipal de gestion de riesgos";"Proyecto Mitigar ";315;280;17
2;"Plan municipal de gestion de riesgos";"Proyecto Mitigar ";315;76;6
3;"Plan municipal de gestion de riesgos";"Proyecto PMDN";311;1;1
4;"Plan municipal de gestion de riesgos";"Proyecto PMDN";307;3;1
5;"Plan municipal de gestion de riesgos";"Proyecto PMDN";307;75;6
6;"Plan municipal de gestion de riesgos";"Proyecto PMDN";307;77;6
7;"Plan municipal de gestion de riesgos";"Proyecto PMDN";307;80;6
8;"Plan municipal de gestion de riesgos";"Proyecto PMDN";307;81;6
9;"Plan municipal de gestion de riesgos";"Proyecto PMDN";311;85;6
10;"Plan municipal de gestion de riesgos";"Proyecto PMDN";307;90;6
11;"Plan municipal de gestion de riesgos";"Proyecto PMDN";311;10;2
12;"Plan municipal de gestion de riesgos";"Proyecto PMDN";311;10;2
13;"Plan Municipal de Ordenamiento Territorial Caracterizacion y Planificacion Regional";"Proyecto PMDN";311;10;2
14;"Plan de Gestion Local de Riesgos";"Proyecto PMDN";307;13;2
15;"Plan de Gestion Local de Riesgos";"Proyecto PMDN";307;16;2
16;"Plan de Gestion Local de Riesgos";"Proyecto PMDN";307;17;2
17;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";306;24;3
18;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";311;41;4
19;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";311;31;4
20;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";311;44;4
21;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";307;48;4
22;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";307;49;4
23;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";307;50;4
24;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";311;51;4
25;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";307;52;4
26;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";307;54;4
27;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";307;54;4
28;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";311;58;4
29;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";307;40;4
30;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";307;61;4
31;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";315;43;4
32;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";307;64;5
33;"Plan Municipal de Gestion de Riesgos";"Proyecto PMDN";307;74;5
