"ID_Bus";"Desc_Ruta";"ID_Modalidad";"ID_Depto";"ID_Municipio";"HoraInicio";"HoraFinal";"TiempoEstimado";"KmlUbicacion"
1;"Carrizal - El Centro - Miraflores";1;8;110;"5:30:00";"19:15:00";"3 Minutos";"https://www.dropbox.com/s/ozzsrqnm785hbhr/CARRIZAL%20EL%20CENTRO%20MIRAFLORES.kmz?dl=0"
2;"San Francisco - El Centro";1;8;110;"5:30:00";"19:15:00";"7 Minutos";"https://www.dropbox.com/s/667w24z1xvjpdc8/SAN%20FRANCISCO%20EL%20CENTRO.kmz?dl=0"
3;"Los Llanos - Aleman - La Isla - El Centro";1;8;110;"5:30:00";"19:30:00";"20 Minutos";"https://www.dropbox.com/s/wfem6hjdcli5ne8/ALEMAN%20LLANOS%20ISLA%20CENTRO.kmz?dl=0"
4;"Anillo Periférico - Ulloa - UTH - UNAH - La Sosa";1;8;110;"5:45:00";"19:30:00";"6 Minutos";"https://www.dropbox.com/s/ty4w4abx3o1m5ux/Anillo%20Periferico%20Ulloa%20UNAH%20La%20Sosa.kmz?dl=0"
5;"Cuidad España - El Mercado";1;8;110;"5:00:00";"18:30:00";"20 Minutos";"https://www.dropbox.com/s/xvycxfamdvfypw6/CIUDAD%20ESPA%C3%91A%20MERCADO.kmz?dl=0"
6;"Cerro Grande - Mall Premier - Metromall - Cascadas - UNAH - La Sosa";1;8;110;"5:30:00";"20:00:00";"3 Minutos";"https://www.dropbox.com/s/whkylj63xbz458s/CERRO%20GRANDE%20MALL%20PREMIER%20METROMALL%20CASCADAS%20UNAH%20LA%20SOSA.kmz?dl=0"
7;"El Hato de en medio - UNAH - Kennedy - Miraflores";1;8;110;"5:45:00";"19:00:00";"7 Minutos";"https://www.dropbox.com/s/99u2xcplb916rmw/HATO%20DE%20ENMEDIO%20UNAH%20KENNEDY%20PLAZA%20MIRAFLORES.kmz?dl=0"
8;"Carrizal - Metromall - Cascadas - UNAH - La Sosa";1;8;110;"5:30:00";"19:15:00";"6 Minutos";"https://www.dropbox.com/s/y5kc7ga743cr2vx/CARRIZAL%20CASCADAS%20UNAH%20LA%20SOSA.kmz?dl=0"
9;"El Hato de en medio - Centro - Los Robles";1;8;110;"5:30:00";"18:45:00";"5 Minutos";"https://www.dropbox.com/s/lgivjdbcuyujgya/HATO%20DE%20ENMEDIO%20CENTRO%20LOS%20ROBLES.kmz?dl=0"
10;"El Hato de en medio - UNICAH - Los Robles - El Pedregal - Kennedy - San Felipe";1;8;110;"5:00:00";"19:00:00";"10 Minutos";"https://www.dropbox.com/s/ty0ece2rrqmqd88/HATO%20DE%20ENMEDIO%20ROBLES%20PEDREGAL%20CITY%20MALL%20CATOLICA%20KENNEDY%20UNAH%20SAN%20FELIPE.kmz?dl=0"
